movie,studio,production_budget,domestic_gross,worldwide_gross,release_month,foreign_gross,net_profit
Now You See Me,LG/S,75000000.0,117723989.0,342769200.0,May,225045211.0,267769200.0
Warcraft,Uni.,160000000.0,47225655.0,425522281.0,June,378296626.0,265522281.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,155000000.0,104386950.0,418186950.0,December,313800000.0,263186950.0
Pitch Perfect 2,Uni.,29000000.0,184296230.0,287625468.0,May,103329238.0,258625468.0
Bridesmaids,Uni.,32500000.0,169211718.0,289632023.0,May,120420305.0,257132023.0
Neighbors,Uni.,18000000.0,150086800.0,270944428.0,May,120857628.0,252944428.0
Get Out,Uni.,5000000.0,176040665.0,255367951.0,February,79327286.0,250367951.0
Annabelle,WB (NL),6500000.0,84273813.0,256862920.0,October,172589107.0,250362920.0
Maze Runner: The Scorch Trials,Fox,61000000.0,81697192.0,310566162.0,September,228868970.0,249566162.0
Fantastic Four,Fox,87500000.0,154696080.0,333132750.0,July,178436670.0,245632750.0
The Adventures of Tintin,Par.,130000000.0,77591831.0,373993951.0,December,296402120.0,243993951.0
Journey 2: The Mysterious Island,WB (NL),79000000.0,103860290.0,318146162.0,February,214285872.0,239146162.0
The Smurfs 2,Sony,110000000.0,71017784.0,348547523.0,July,277529739.0,238547523.0
Resident Evil: Afterlife,SGem,57500000.0,60128566.0,295874190.0,September,235745624.0,238374190.0
Now You See Me 2,LG/S,90000000.0,65075540.0,328325007.0,June,263249467.0,238325007.0
The SpongeBob Movie: Sponge Out of Water,Par.,74000000.0,162994032.0,311013181.0,February,148019149.0,237013181.0
G.I. Joe: Retaliation,Par.,140000000.0,122523060.0,375740705.0,March,253217645.0,235740705.0
Penguins of Madagascar,Fox,132000000.0,83350911.0,366942531.0,November,283591620.0,234942531.0
Baahubali 2: The Conclusion,GrtIndia,30000000.0,18985794.0,263502914.0,April,244517120.0,233502914.0
Snow White and the Huntsman,Uni.,170000000.0,155136755.0,401021746.0,June,245884991.0,231021746.0
We're the Millers,WB (NL),37000000.0,150394119.0,267816276.0,August,117422157.0,230816276.0
Captain America: The First Avenger,Par.,140000000.0,176654505.0,370569776.0,July,193915271.0,230569776.0
Night at the Museum: Secret of the Tomb,Fox,127000000.0,113746621.0,353756621.0,December,240010000.0,226756621.0
Noah,Par.,130000000.0,101200044.0,352831065.0,March,251631021.0,222831065.0
Pacific Rim,WB,190000000.0,101802906.0,411002906.0,July,309200000.0,221002906.0
Mad Max: Fury Road,WB,150000000.0,153636354.0,370098020.0,May,216461666.0,220098020.0
Shutter Island,Par.,80000000.0,128012934.0,299461782.0,February,171448848.0,219461782.0
Independence Day: Resurgence,Fox,165000000.0,103144286.0,384169424.0,June,281025138.0,219169424.0
Trolls,Fox,125000000.0,153707064.0,344150134.0,November,190443070.0,219150134.0
American Hustle,Sony,40000000.0,150117807.0,257878294.0,December,107760487.0,217878294.0
True Grit,Par.,35000000.0,171243005.0,252276928.0,December,81033923.0,217276928.0
Silver Linings Playbook,Wein.,21000000.0,132092958.0,236412453.0,November,104319495.0,215412453.0
The Imitation Game,Wein.,15000000.0,91125143.0,227740463.0,November,136615320.0,212740463.0
A Good Day to Die Hard,Fox,92000000.0,67349198.0,304249198.0,February,236900000.0,212249198.0
The Expendables 2,LGF,100000000.0,85028192.0,311979256.0,August,226951064.0,211979256.0
Mary Poppins Returns,BV,130000000.0,171958438.0,341528518.0,December,169570080.0,211528518.0
Little Fockers,Uni.,100000000.0,148438600.0,310650574.0,December,162211974.0,210650574.0
Cars 3,BV,175000000.0,152901115.0,383541369.0,June,230640254.0,208541369.0
